,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,27,20,0,7,60,55,27,28,3,4
1,Liverpool_19_20,27,26,1,0,79,64,17,47,1,1
2,Sheffield Utd_20_21,27,4,2,21,14,16,43,-27,20,20
3,Leeds United_20_21,27,11,2,14,35,43,46,-3,11,9
4,Manchester City_18_19,27,21,2,4,65,74,20,54,2,1
5,Swansea City_16_17,27,8,3,16,27,35,59,-24,16,15
6,Manchester City_19_20,27,18,3,6,57,68,29,39,2,2
7,Chelsea_16_17,27,21,3,3,66,57,20,37,1,1
8,Manchester City_17_18,27,23,3,1,72,79,20,59,1,1
9,Sunderland_16_17,27,5,4,18,19,24,50,-26,20,20
