,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,29,4,5,20,17,27,65,-38,19,19
1,Swansea City_16_17,29,8,3,18,27,36,63,-27,17,15
2,Hull City_16_17,29,6,6,17,24,26,58,-32,18,18
3,West Brom_20_21,29,3,9,17,18,20,57,-37,19,19
4,Cardiff City_18_19,29,7,4,18,25,25,57,-32,18,18
5,Aston Villa_19_20,29,7,5,17,26,34,56,-22,19,17
6,Stoke City_17_18,29,6,9,14,27,28,54,-26,19,19
7,West Ham_17_18,29,7,9,13,30,36,54,-18,14,13
8,Bournemouth_16_17,29,9,6,14,33,42,54,-12,12,9
9,Bournemouth_18_19,29,10,4,15,34,39,54,-15,12,14
