,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,33,5,2,26,17,18,56,-38,20,20
1,Huddersfield_18_19,33,3,5,25,14,19,63,-44,20,20
2,Middlesbrough_16_17,33,4,12,17,24,23,43,-20,19,19
3,Norwich City_19_20,33,5,6,22,21,25,61,-36,20,20
4,Fulham_20_21,33,5,12,16,27,25,43,-18,18,18
5,Sunderland_16_17,33,5,6,22,21,26,59,-33,20,20
6,West Brom_17_18,33,3,12,18,21,26,52,-26,20,20
7,Huddersfield_17_18,33,8,8,17,32,26,54,-28,16,16
8,Swansea City_17_18,33,8,9,16,33,27,46,-19,15,18
9,Cardiff City_18_19,33,8,4,21,28,28,63,-35,18,18
