,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,14,0,2,12,2,8,25,-17,20,20
1,Fulham_18_19,14,2,2,10,8,14,35,-21,20,19
2,Crystal Palace_17_18,14,2,3,9,9,8,25,-17,20,11
3,Burnley_18_19,14,2,3,9,9,13,29,-16,19,15
4,Swansea City_16_17,14,2,3,9,9,16,31,-15,20,15
5,Swansea City_17_18,14,2,3,9,9,7,16,-9,19,18
6,Hull City_16_17,14,3,2,9,11,11,29,-18,19,18
7,Norwich City_19_20,14,3,2,9,11,15,30,-15,19,20
8,Cardiff City_18_19,14,3,2,9,11,13,27,-14,16,18
9,Sunderland_16_17,14,3,2,9,11,14,24,-10,18,20
