,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,22,2,5,15,11,13,37,-24,20,20
1,West Brom_20_21,22,2,6,14,12,18,52,-34,19,19
2,Fulham_20_21,22,2,9,11,15,17,31,-14,18,18
3,West Brom_17_18,22,2,10,10,16,16,30,-14,19,20
4,Sheffield Utd_20_21,22,3,2,17,11,14,35,-21,20,20
5,Fulham_18_19,22,3,5,14,14,20,49,-29,19,19
6,Norwich City_19_20,22,3,5,14,14,22,45,-23,20,20
7,Sunderland_16_17,22,4,3,15,15,20,42,-22,20,20
8,Hull City_16_17,22,4,4,14,16,20,47,-27,19,18
9,Swansea City_17_18,22,4,4,14,16,13,34,-21,20,18
