,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Southampton_17_18,36,6,15,15,33,36,55,-19,17,17
1,Manchester Utd_16_17,36,17,14,5,65,52,29,23,6,6
2,Wolves_19_20,36,14,14,8,56,49,38,11,6,7
3,Arsenal_19_20,36,13,14,9,53,53,45,8,9,8
4,Brighton_20_21,36,8,14,14,38,37,42,-5,17,16
5,Brighton_17_18,36,9,13,14,40,33,47,-14,11,15
6,Brighton_19_20,36,8,13,15,37,37,53,-16,16,15
7,Middlesbrough_16_17,36,5,13,18,28,26,48,-22,19,19
8,West Brom_17_18,36,5,13,18,28,30,54,-24,20,20
9,Liverpool_17_18,36,20,12,4,72,80,37,43,3,4
