,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,38,30,7,1,97,89,22,67,2,2
1,Manchester City_18_19,38,32,2,4,98,95,23,72,1,1
2,Tottenham_16_17,38,26,8,4,86,86,26,60,2,2
3,Manchester City_17_18,38,32,4,2,100,106,27,79,1,1
4,Manchester Utd_17_18,38,25,6,7,81,68,28,40,2,2
5,Manchester Utd_16_17,38,18,15,5,69,54,29,25,6,6
6,Manchester City_20_21,38,27,5,6,86,83,32,51,1,1
7,Liverpool_19_20,38,32,3,3,99,85,33,52,1,1
8,Chelsea_16_17,38,30,3,5,93,85,33,52,1,1
9,Manchester City_19_20,38,26,3,9,81,102,35,67,2,2
