,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,21,20,1,0,61,50,14,36,1,1
1,Manchester City_17_18,21,19,2,0,59,61,12,49,1,1
2,Liverpool_18_19,21,17,3,1,54,49,10,39,1,2
3,Chelsea_16_17,21,17,1,3,52,45,15,30,1,1
4,Manchester City_18_19,21,16,2,3,50,56,17,39,2,1
5,Tottenham_18_19,21,16,0,5,48,46,21,25,3,4
6,Manchester City_20_21,21,14,5,2,47,39,13,26,1,1
7,Tottenham_16_17,21,13,6,2,45,43,14,29,2,2
8,Leicester City_19_20,21,14,3,4,45,46,19,27,2,5
9,Liverpool_16_17,21,13,6,2,45,49,24,25,3,4
