,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,24,23,1,0,70,56,15,41,1,1
1,Manchester City_17_18,24,21,2,1,65,70,18,52,1,1
2,Liverpool_18_19,24,19,4,1,61,55,14,41,1,2
3,Chelsea_16_17,24,19,2,3,59,51,17,34,1,1
4,Manchester City_18_19,24,18,2,4,56,63,19,44,2,1
5,Tottenham_18_19,24,18,0,6,54,50,24,26,3,4
6,Manchester City_20_21,24,17,5,2,56,49,15,34,1,1
7,Manchester Utd_17_18,24,16,5,3,53,49,16,33,2,2
8,Manchester City_19_20,24,16,3,5,51,65,27,38,2,2
9,Chelsea_17_18,24,15,5,4,50,45,16,29,3,5
