Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,17,13,2,2,41,40,9,31,1
Liverpool_21_22,17,12,4,1,40,48,13,35,2
Chelsea_21_22,17,11,4,2,37,39,12,27,3
Tottenham_21_22,17,9,3,5,30,22,20,2,4
Arsenal_21_22,17,9,2,6,29,23,22,1,5
West Ham_21_22,17,8,4,5,28,28,21,7,6
Manchester Utd_21_22,17,8,4,5,28,27,25,2,7
Wolves_21_22,17,7,3,7,24,13,14,-1,8
Brighton_21_22,17,5,8,4,23,16,17,-1,9
Aston Villa_21_22,17,7,1,9,22,23,25,-2,10
Leicester City_21_22,17,6,4,7,22,30,33,-3,11
Crystal Palace_21_22,17,4,8,5,20,24,24,0,12
Brentford_21_22,17,5,5,7,20,21,24,-3,13
Everton_21_22,17,5,4,8,19,21,29,-8,14
Southampton_21_22,17,3,8,6,17,16,26,-10,15
Leeds United_21_22,17,3,7,7,16,17,32,-15,16
Watford_21_22,17,4,1,12,13,22,35,-13,17
Burnley_21_22,17,1,8,8,11,16,27,-11,18
Newcastle Utd_21_22,17,1,7,9,10,18,37,-19,19
Norwich City_21_22,17,2,4,11,10,8,34,-26,20
